img_url,name,price,shop
https://s.ek.ua/jpg/1056360.jpg,Beko FSM 62330 DWT,15999,Kvshop.com.ua
https://s.ek.ua/jpg/1056360.jpg,Beko FSM 62330 DWT,15999,АЛЛО
https://s.ek.ua/jpg/1056360.jpg,Beko FSM 62330 DWT,15783,Avic.ua
https://s.ek.ua/jpg/1056360.jpg,Beko FSM 62330 DWT,14627,Pro100market.com.ua
https://s.ek.ua/jpg/1056360.jpg,Beko FSM 62330 DWT,14981,Palladium.ua
https://s.ek.ua/jpg/1056360.jpg,Beko FSM 62330 DWT,14765,Foroom.com.ua
https://s.ek.ua/jpg/1056360.jpg,Beko FSM 62330 DWT,14861,Цифра
https://s.ek.ua/jpg/1704668.jpg,Indesit IS 5G0KMX,11866,Stylus.ua
https://s.ek.ua/jpg/1704668.jpg,Indesit IS 5G0KMX,11823,Цифра
https://s.ek.ua/jpg/1704668.jpg,Indesit IS 5G0KMX,14610,Denika.ua
https://s.ek.ua/jpg/1704668.jpg,Indesit IS 5G0KMX,12110,Click24.in.ua
https://s.ek.ua/jpg/1704668.jpg,Indesit IS 5G0KMX,13068,click24.biz
https://s.ek.ua/jpg/1704668.jpg,Indesit IS 5G0KMX,16175,Ok24.in.ua
https://s.ek.ua/jpg/1704668.jpg,Indesit IS 5G0KMX,13948,Ebox24.biz
https://s.ek.ua/jpg/2397172.jpg,Gorenje GG 6A10 WJ,14499,Gorenje-partner
https://s.ek.ua/jpg/2397172.jpg,Gorenje GG 6A10 WJ,14499,590.ua
https://s.ek.ua/jpg/2397172.jpg,Gorenje GG 6A10 WJ,14499,АЛЛО
https://s.ek.ua/jpg/2397172.jpg,Gorenje GG 6A10 WJ,14499,Moyo.ua
https://s.ek.ua/jpg/2397172.jpg,Gorenje GG 6A10 WJ,13438,Pro100market.com.ua
https://s.ek.ua/jpg/2397172.jpg,Gorenje GG 6A10 WJ,14499,Sokol.ua
https://s.ek.ua/jpg/2397172.jpg,Gorenje GG 6A10 WJ,13371,Vodogreyka.com.ua
https://s.ek.ua/jpg/2228711.jpg,Esperanza Vesuvius,1449,Kvshop.com.ua
https://s.ek.ua/jpg/2228711.jpg,Esperanza Vesuvius,1122,Pro100market.com.ua
https://s.ek.ua/jpg/2228711.jpg,Esperanza Vesuvius,979,Foroom.com.ua
